# NPC room data — auto-generated by generate_test_data.sh
# Format: room_path	npc_id	npc_file_path
# npc_id is the basename of the NPC file
/d/longttu/quarters	apprentice_npc	/d/longttu/npc/apprentice_npc
/d/longttu/study	elder	/d/longttu/npc/elder
/d/xueyin/yard	servant	/d/xueyin/npc/servant
/d/xueyin/training	renegade	/d/xueyin/npc/renegade
/d/xueyin/hall	yutieshan	/d/xueyin/npc/yutieshan
/d/manglin/path1	wild_boar	/d/manglin/npc/wild_boar
/d/manglin/path2	black_bear	/d/manglin/npc/black_bear
/d/manglin/clearing	hunter	/d/manglin/npc/hunter
/d/wutang/sgate	guard	/d/wutang/npc/guard
/d/wutang/wgate	guard	/d/wutang/npc/guard
/d/wutang/square	villager	/d/wutang/npc/villager
/d/wutang/ngate	guard	/d/wutang/npc/guard
/d/wutang/inn_hall	waiter	/d/wutang/npc/waiter
/d/wutang/inn_hall	storyteller	/d/wutang/npc/storyteller
/d/wutang/inn_hall	yongtai	/d/wutang/npc/yongtai
/d/wutang/dock	ferryman	/d/wutang/npc/ferryman
/d/wutang/inn_2f	haidafu	/d/wutang/npc/haidafu
/d/wutang/temple	temple_master	/d/wutang/npc/temple_master
/d/wutang/court	inspector	/d/wutang/npc/inspector
/d/wutang/egate	guard	/d/wutang/npc/guard
/d/wutang/street1	patrol	/d/wutang/npc/patrol
/d/wutang/street1	guobu	/d/wutang/npc/guobu
/d/wutang/square_e	shen	/d/wutang/npc/shen
/d/jianjia/forge	smith	/d/jianjia/npc/smith
/d/jianjia/hall	master	/d/jianjia/npc/master
/d/langyi/hall	master	/d/langyi/npc/master
/d/langyi/hall	spy	/d/langyi/npc/spy
/d/langyi/passage	assassin	/d/langyi/npc/assassin
/d/lee/street	elder	/d/lee/npc/elder
/d/lee/farm	farmer	/d/lee/npc/farmer
/d/lee/inn	innkeeper	/d/lee/npc/innkeeper
/d/kuxiao/yard	disciple	/d/kuxiao/npc/disciple
/d/kuxiao/hall	liuyi	/d/kuxiao/npc/liuyi
/d/kuxiao/hall	lieutenant	/d/kuxiao/npc/lieutenant
/d/lijun/riverside_e	bandit	/d/lijun/npc/bandit
/d/lijun/teahouse	tea_lady	/d/lijun/npc/tea_lady
/d/lijun/market	trader	/d/lijun/npc/trader
/d/lijun/dock	ferryman	/d/lijun/npc/ferryman
/d/lijun/entrance	river_guard	/d/lijun/npc/river_guard
/d/lijun/riverbank	fisherman	/d/lijun/npc/fisherman
/d/tianshi/talisman_room	talisman_maker	/d/tianshi/npc/talisman_maker
/d/tianshi/hall	master	/d/tianshi/npc/master
/d/tianshi/courtyard	acolyte	/d/tianshi/npc/acolyte
/d/xuantian/hall	master	/d/xuantian/npc/master
/d/xuantian/library	attendant	/d/xuantian/npc/attendant
/d/baihua/street	flowergirl	/d/baihua/npc/flowergirl
/d/baihua/street	student	/d/baihua/npc/student
/d/baihua/entrance	stone_lion	/d/baihua/npc/stone_lion
/d/baihua/melon_farm	melon_farmer	/d/baihua/npc/melon_farmer
/d/zhenwu/gate	guard	/d/zhenwu/npc/guard
/d/zhenwu/yard	soldier	/d/zhenwu/npc/soldier
/d/zhenwu/command	mipei	/d/zhenwu/npc/mipei
/d/choyin/sgate	cityguard	/d/choyin/npc/cityguard
/d/choyin/square	fortune_teller	/d/choyin/npc/fortune_teller
/d/choyin/square	beggar	/d/choyin/npc/beggar
/d/choyin/ngate	cityguard	/d/choyin/npc/cityguard
/d/choyin/inn	innkeeper	/d/choyin/npc/innkeeper
/d/choyin/temple	monk	/d/choyin/npc/monk
/d/choyin/bookshop	bookshop_owner	/d/choyin/npc/bookshop_owner
/d/baixiang/main_hall	abbot	/d/baixiang/npc/abbot
/d/baixiang/courtyard	monk	/d/baixiang/npc/monk
/d/tianyue/hall	master	/d/tianyue/npc/master
/d/tianyue/quarters	novice	/d/tianyue/npc/novice
